id,age,height,TVCM,SNS,sports,history,purchase
1,55,136,1,0,1,0,1
2,30,177,0,1,1,0,0
3,26,186,1,1,0,0,0
4,27,169,0,1,1,0,0
5,29,171,0,1,0,0,0
6,23,170,1,1,1,0,1
7,33,177,1,1,0,1,1
8,18,169,0,1,1,0,0
9,34,,1,1,0,1,1
10,19,168,0,0,1,0,0
11,30,177,1,1,1,,1
12,25,174,1,0,1,0,1
13,24,173,0,1,0,0,0
14,43,146,1,0,1,0,1
15,38,162,1,0,0,0,0
16,55,172,0,0,0,0,0
17,36,173,1,0,1,0,1
18,38,159,0,0,0,,0
19,29,161,0,0,0,0,0
20,46,169,0,1,1,0,1
21,47,181,1,1,0,0,1
22,32,175,1,0,1,0,1
23,22,177,0,1,1,0,0
24,41,149,,1,0,0,0
25,41,160,0,1,0,0,0
26,59,161,1,1,0,0,0
27,48,137,1,1,1,0,1
28,50,168,1,0,1,0,1
29,40,156,0,1,1,0,0
30,31,153,0,1,1,,0
31,59,189,1,1,1,0,1
32,27,183,0,0,0,0,0
33,25,159,0,,1,0,1
34,40,171,1,1,1,0,1
35,19,172,0,1,0,0,0
36,18,187,0,1,1,0,0
37,35,162,0,0,0,0,0
38,26,156,1,0,1,0,1
39,42,182,0,1,0,0,0
40,31,190,1,,1,0,1
41,26,160,1,1,0,1,1
42,48,161,1,1,0,,1
43,25,200,0,1,0,0,0
44,21,153,1,1,1,0,1
45,24,129,1,0,1,,1
46,39,173,1,1,1,0,1
47,21,133,0,1,0,1,1
48,22,163,,1,1,0,1
49,42,187,1,1,1,0,1
50,30,164,0,1,1,0,0
51,44,188,0,1,0,0,0
52,34,168,0,1,0,0,0
53,59,164,1,1,0,1,1
54,36,202,0,1,0,0,0
55,33,182,1,1,1,0,1
56,18,155,1,1,1,0,1
57,22,162,0,1,,0,0
58,43,181,0,1,0,0,0
59,52,152,0,1,1,0,1
60,41,187,1,1,0,0,1
61,25,170,1,0,0,0,0
62,,192,1,1,1,1,1
63,,157,1,0,1,0,1
64,58,180,1,0,1,0,1
65,40,191,1,1,1,0,1
66,27,133,0,,1,0,1
67,21,172,1,1,0,0,1
68,57,169,,0,0,0,0
69,41,153,0,0,0,0,0
70,54,176,0,0,1,0,0
71,45,167,1,1,1,0,1
72,55,180,0,0,1,0,0
73,37,161,1,1,1,1,1
74,56,155,1,0,1,0,1
75,26,155,0,0,0,0,0
76,50,183,0,1,1,0,1
77,52,166,1,1,1,,1
78,28,153,0,1,1,0,0
79,,173,0,1,0,0,0
80,33,162,1,1,1,0,1
81,41,167,1,0,1,0,1
82,,156,0,1,1,0,0
83,25,166,1,0,0,0,0
84,46,167,1,1,1,0,1
85,28,161,0,1,1,0,0
86,50,163,1,1,0,0,0
87,42,170,0,1,0,0,0
88,41,154,1,0,1,0,1
89,19,178,1,1,0,0,1
90,31,165,1,,0,,0
91,21,164,0,1,0,0,0
92,18,177,0,1,0,0,0
93,31,154,1,1,1,0,1
