id,store_id,area,temperature,season,weather,day,custom_num,cost,sales
1,684,5,23,0,0,4,,110,194810
2,559,6,14,3,,,674,110,69410
3,629,6,14,3,,5,463,108,41256
4,192,2,20,0,2,2,863,120,148200
5,835,1,20,2,1,1,729,108,139968
6,763,6,,0,0,,741,120,182760
7,707,3,30,1,1,2,749,110,244310
8,359,2,11,3,0,4,635,110,65890
9,9,3,20,2,0,,1004,108,234684
10,,5,9,3,,1,555,108,45684
11,277,1,20,0,1,3,361,108,72360
12,754,2,28,1,1,4,647,110,208120
13,804,2,18,0,1,6,,108,148068
14,599,1,25,1,2,0,670,110,137170
15,70,5,46,1,2,,641,108,170208
16,472,1,29,1,0,5,,110,305470
17,600,5,13,3,1,1,593,,51516
18,396,1,21,0,0,5,593,110,140910
19,314,3,15,2,0,2,391,110,81290
20,705,5,16,2,0,5,684,120,149280
21,486,3,22,,1,0,606,108,116856
22,551,0,20,2,2,5,760,110,118690
23,87,2,19,,0,4,539,110,104500
24,174,2,32,1,1,6,756,,271680
25,600,6,14,3,1,2,724,110,64350
26,849,5,20,0,1,,738,108,142452
27,,4,16,0,1,6,642,108,106488
28,537,2,31,1,2,3,813,120,235560
29,845,0,38,1,1,2,681,110,226490
30,72,0,13,3,0,3,675,110,66440
31,777,1,34,1,1,4,807,108,261792
32,916,2,22,0,0,4,832,110,197010
33,115,0,21,0,0,6,740,108,169236
34,976,1,24,2,0,3,609,120,158880
35,755,6,22,2,2,4,837,108,134676
36,709,5,10,3,0,5,756,108,75600
37,847,0,19,0,1,0,765,120,136320
38,431,2,17,2,0,0,723,108,142884
39,448,6,18,0,0,,756,108,142236
40,850,6,16,0,1,,512,108,83700
41,99,6,,0,0,4,716,110,144210
42,984,2,22,2,2,,596,110,95700
43,177,1,15,2,0,5,680,120,147000
44,755,2,33,1,1,3,759,,246950
45,797,1,30,1,1,4,,120,277080
46,659,,16,2,0,3,661,108,129168
47,147,4,22,2,0,0,746,110,181500
48,910,1,19,2,0,4,756,108,141696
49,423,4,22,0,1,2,504,108,100872
50,288,5,17,0,,3,678,110,114510
51,961,2,24,0,1,6,705,110,138380
52,265,6,,3,2,6,878,110,46310
53,697,5,8,3,0,0,809,120,75120
54,639,3,15,2,2,0,,120,88920
55,544,2,3,3,2,0,697,120,44160
56,543,5,19,2,0,2,674,108,131760
57,714,5,10,3,0,3,696,108,70848
58,244,6,14,3,0,0,654,110,69740
59,151,6,19,0,0,4,637,,125604
60,675,3,26,1,2,4,512,108,103464
61,510,2,25,1,2,6,615,110,130240
62,459,1,20,0,0,5,697,110,167860
63,882,0,18,,0,3,793,120,164280
64,183,1,18,0,,5,839,108,131976
65,28,5,25,1,0,5,775,120,262680
66,802,3,37,1,2,2,,110,165550
67,128,2,10,3,1,0,650,,57420
68,128,2,17,2,0,2,677,108,133380
69,932,2,5,3,0,2,697,120,63480
70,53,0,40,1,2,,740,120,211560
71,901,0,,3,,,679,110,56540
72,550,1,30,1,1,5,863,108,277884
73,488,5,3,3,,0,807,110,67980
74,756,1,11,3,0,4,621,108,65448
